Date,Positives,Tests,1-Day %,7-Day %,14-Day %,baseline
9/25/2020,-,-,-,-,-,0
9/26/2020,10,1645,0.61%,-,-,0
9/27/2020,17,2746,0.62%,-,-,0
9/28/2020,23,2619,0.88%,-,-,0
9/29/2020,0,0,-,-,-,0
9/30/2020,25,3962,0.63%,-,-,0
10/1/2020,9,1487,0.61%,-,-,0
10/2/2020,1,1924,0.05%,0.59%,-,0
10/3/2020,0,0,-,0.59%,-,0
10/4/2020,25,3092,0.81%,0.63%,-,0
10/5/2020,24,4338,0.55%,0.57%,-,0
10/6/2020,0,0,-,0.57%,-,0
10/7/2020,0,1547,0.00%,0.48%,-,0
10/8/2020,8,1154,0.69%,0.48%,-,0
10/9/2020,7,2151,0.33%,0.52%,0.56%,0
10/10/2020,0,0,-,0.52%,0.56%,0
10/11/2020,5,2515,0.20%,0.38%,0.51%,0
10/12/2020,0,0,-,0.27%,0.47%,0
10/13/2020,2,4968,0.04%,0.18%,0.39%,0
10/14/2020,3,0,-,0.23%,0.36%,0
10/15/2020,3,2051,0.15%,0.17%,0.33%,0
10/16/2020,9,755,1.19%,0.21%,0.38%,0
10/17/2020,22,1293,1.70%,0.38%,0.45%,0
10/18/2020,41,3441,1.19%,0.64%,0.51%,0
10/19/2020,4,2782,0.14%,0.55%,0.46%,0
10/20/2020,2,0,-,0.81%,0.47%,0
10/21/2020,8,2265,0.35%,0.71%,0.49%,0
10/22/2020,3,219,1.37%,0.83%,0.49%,0
10/23/2020,2,2219,0.09%,0.67%,0.46%,0
10/24/2020,4,2207,0.18%,0.49%,0.44%,0
10/25/2020,0,1308,0.00%,0.21%,0.44%,0
10/26/2020,0,2334,0.00%,0.18%,0.40%,0
10/27/2020,0,1087,0.00%,0.15%,0.46%,0
10/28/2020,6,1252,0.48%,0.14%,0.45%,0
10/29/2020,6,1252,0.48%,0.15%,0.48%,0
10/30/2020,9,1083,0.83%,0.24%,0.47%,0
10/31/2020,4,2553,0.16%,0.23%,0.37%,0
11/1/2020,2,2415,0.08%,0.23%,0.22%,0
11/2/2020,2,0,-,0.30%,0.24%,0
11/3/2020,0,4153,0.00%,0.23%,0.19%,0
11/4/2020,4,0,-,0.24%,0.19%,0
11/5/2020,1,538,0.19%,0.20%,0.18%,0
11/6/2020,3,1745,0.17%,0.14%,0.19%,0
11/7/2020,2,1050,0.19%,0.14%,0.19%,0
11/8/2020,3,4139,0.07%,0.13%,0.18%,0
11/9/2020,5,1,-,0.15%,0.22%,0
11/10/2020,3,3500,0.09%,0.19%,0.21%,0
11/11/2020,0,0,-,0.15%,0.20%,0
11/12/2020,9,1174,0.77%,0.22%,0.21%,0
11/13/2020,10,2262,0.44%,0.26%,0.20%,0
11/14/2020,0,2846,0.00%,0.22%,0.18%,0
