Date,Off-campus cases,On-campus cases
9/29/2020,62.80%,37.20%
9/30/2020,55.70%,44.30%
10/1/2020,56.70%,43.30%
10/2/2020,58.30%,41.70%
10/3/2020,58.30%,41.70%
10/4/2020,57.60%,42.40%
10/5/2020,52.70%,47.30%
10/6/2020,52.70%,47.30%
10/7/2020,60.00%,40.00%
10/8/2020,60.00%,40.00%
10/9/2020,60.00%,40.00%
10/10/2020,54.80%,45.20%
10/11/2020,55.60%,44.40%
10/12/2020,55.60%,44.40%
10/13/2020,55.60%,44.40%
10/14/2020,65.00%,35.00%
10/15/2020,63.20%,36.80%
10/16/2020,54.50%,45.50%
10/17/2020,58.60%,41.40%
10/18/2020,61.80%,38.20%
10/19/2020,59.00%,41.00%
10/20/2020,59.00%,41.00%
10/21/2020,59.70%,40.30%
10/22/2020,58.60%,41.40%
10/23/2020,60.50%,39.50%
10/24/2020,64.30%,35.70%
10/25/2020,52.60%,47.40%
10/26/2020,57.10%,42.90%
10/27/2020,42.90%,57.10%
10/28/2020,58.30%,41.70%
10/29/2020,58.30%,41.70%
10/30/2020,41.20%,58.80%
10/31/2020,47.40%,52.60%
11/1/2020,63.20%,36.80%
11/2/2020,64.70%,35.30%
11/3/2020,61.10%,38.90%
11/4/2020,61.10%,38.90%
11/5/2020,85.70%,14.30%
11/6/2020,85.70%,14.30%
11/7/2020,85.70%,14.30%
11/8/2020,85.70%,14.30%
11/9/2020,70.00%,30.00%
11/10/2020,77.80%,22.20%
11/11/2020,77.80%,22.20%
11/12/2020,65.00%,35.00%
11/13/2020,78.80%,21.20%
11/14/2020,75.80%,24.20%
11/15/2020,69.20%,30.80%
11/16/2020,69.20%,30.80%
11/17/2020,67.50%,32.50%
11/18/2020,67.50%,32.50%
11/19/2020,73.70%,26.30%
11/20/2020,73.70%,26.30%
11/21/2020,70.20%,29.80%
11/22/2020,74.00%,26.00%
11/23/2020,76.50%,23.50%
11/24/2020,73.30%,26.70%
11/25/2020,76.30%,23.70%
11/26/2020,76.30%,23.70%
11/27/2020,76.30%,23.70%
11/28/2020,76.30%,23.70%
11/29/2020,76.30%,23.70%
11/30/2020,90.00%,10.00%
12/1/2020,87.50%,12.50%
12/2/2020,54.10%,45.90%
12/3/2020,61.80%,38.20%
12/4/2020,61.50%,38.50%
12/5/2020,66.70%,33.30%
12/6/2020,69.40%,30.60%
12/7/2020,70.20%,29.80%
12/8/2020,68.90%,31.10%
12/9/2020,72.70%,27.30%
12/10/2020,74.20%,25.80%
12/11/2020,69.00%,31.00%
12/12/2020,74.40%,25.60%
12/13/2020,71.20%,28.80%
12/14/2020,71.20%,28.80%
12/15/2020,64.40%,35.60%
12/16/2020,73.80%,26.20%
12/17/2020,77.40%,22.60%
12/18/2020,76.70%,23.30%
12/19/2020,77.40%,22.60%
12/20/2020,82.60%,17.40%
12/21/2020,79.50%,20.50%
12/22/2020,78.40%,21.60%
12/23/2020,72.40%,27.60%
12/24/2020,72.40%,27.60%
12/25/2020,72.40%,27.60%
12/26/2020,72.40%,27.60%
12/27/2020,72.40%,27.60%
12/28/2020,72.40%,27.60%
12/29/2020,72.40%,27.60%
12/30/2020,72.40%,27.60%
12/31/2020,72.40%,27.60%
1/1/2021,72.40%,27.60%
1/2/2021,72.40%,27.60%
1/3/2021,72.40%,27.60%
1/4/2021,70.40%,29.60%
1/5/2021,68.80%,31.30%
1/6/2021,65.60%,34.40%
1/7/2021,66.70%,33.30%
1/8/2021,81.10%,18.90%
1/9/2021,88.60%,11.40%
1/10/2021,86.80%,13.20%
1/11/2021,82.90%,17.10%
1/12/2021,80.00%,20.00%
1/13/2021,88.20%,11.80%
1/14/2021,90.90%,9.10%
1/15/2021,91.70%,8.30%
1/16/2021,89.10%,10.90%
1/17/2021,88.90%,11.10%
1/18/2021,88.90%,11.10%
1/19/2021,75.80%,24.20%
1/20/2021,57.80%,42.20%
1/21/2021,55.70%,44.30%
1/22/2021,55.70%,44.30%
